tiploc,lat,lon
AACHEN,50.76771926879883,6.091280460357666
ABCWM,51.69069290161133,-3.40255069732666
ABDARAR,51.71369171142578,-3.439441204071045
ABDARE,51.71452331542969,-3.441859006881714
ABDO,56.05510711669922,-3.2998507022857666
ABDVY,52.544349670410156,-4.056432723999023
ABER,51.57456970214844,-3.229552984237671
ABGLELE,53.29499816894531,-3.581986904144287
ABHL811,55.95486831665039,-3.1728193759918213
ABHLJN,55.95475769042969,-3.173280715942383
ABHLTB,55.95552444458008,-3.170018196105957
ABIN521,55.503814697265625,-3.685161828994751
ABIN528,55.48810958862305,-3.6879396438598633
ABINCE,55.49293518066406,-3.6863930225372314
ABINDPL,55.49265670776367,-3.6861608028411865
ABINDS,55.49274826049805,-3.686249017715454
ABINGTN,55.49401092529297,-3.685142993927002
ABINUPL,55.49532699584961,-3.6842586994171143
ABINUS,55.49298858642578,-3.685661792755127
ABRBEG,51.70751953125,-3.144258975982666
ABRC187,51.6451530456543,-3.326951503753662
ABRCJN,51.64495086669922,-3.3271069526672363
ABRCYNS,51.643272399902344,-3.329184055328369
ABRD15,57.128475189208984,-2.0919694900512695
ABRD222,57.034671783447266,-2.1485984325408936
ABRD223,57.03059387207031,-2.149683952331543
ABRD229,57.07807159423828,-2.10955548286438
ABRD230,57.101806640625,-2.077350378036499
ABRD27,57.13685989379883,-2.097426176071167
ABRD55,57.13096618652344,-2.061321496963501
ABRD56,57.1309928894043,-2.0613057613372803
ABRD75,57.13875961303711,-2.097304105758667
ABRD77,57.136009216308594,-2.09747314453125
ABRDCH,57.142242431640625,-2.0989062786102295
ABRDEEN,57.1428108215332,-2.097968816757202
ABRDFDS,57.13286209106445,-2.098411798477173
ABRDFGL,57.138797760009766,-2.0971522331237793
ABRDFJN,57.13590621948242,-2.097630023956299
ABRDFTT,57.13121795654297,-2.0998291969299316
ABRDFUS,57.13815689086914,-2.0971920490264893
ABRDGBR,57.14290237426758,-2.0963358879089355
ABRDNGS,57.14293670654297,-2.096216917037964
ABRDNHS,57.142852783203125,-2.0962793827056885
ABRDNS,57.14754104614258,-2.1037328243255615
ABRDPDK,57.14298629760742,-2.0962305068969727
ABRDRSL,57.14295959472656,-2.0960986614227295
ABRDWAT,57.14668273925781,-2.084787130355835
ABRDWCR,57.14707946777344,-2.0865213871002197
ABRDWGB,57.147071838378906,-2.086625337600708
ABRE,52.89836502075195,-4.374905109405518
ABRGPGN,51.7845458984375,-2.978879928588867
ABRGS38,51.90058898925781,-2.9654979705810547
ABRGS42,51.811012268066406,-3.008195638656616
ABRGUS,51.815185546875,-3.008842706680298
ABRGVNY,51.81552505493164,-3.0087921619415283
ABRPGWM,51.72854232788086,-3.654731512069702
ABRYAFO,52.910091400146484,-4.3061370849609375
ABRYCRL,52.41267013549805,-4.079812526702881
ABRYRRL,52.41133499145508,-4.077937602996826
ABRYSHE,52.41181182861328,-4.077879905700684
ABRYSTH,52.4138298034668,-4.081486225128174
ABTH,51.38967514038086,-3.3885254859924316
ABTH222,51.41452407836914,-3.4940812587738037
ABTH231,51.44425582885742,-3.5251150131225586
ABTH433,51.41368103027344,-3.4891440868377686
ABTH440,51.45120620727539,-3.5268187522888184
ABTHA13,51.38584518432617,-3.397148609161377
ABTHA39,51.395145416259766,-3.391024589538574
ABTHCRL,51.388946533203125,-3.3877341747283936
ABTHLAF,51.397911071777344,-3.3900306224823
